Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal,Season
1896,Athens,Aquatics,Swimming,"hajos, alfred",HUN,Men,100M Freestyle,Gold,Summer
1896,Athens,Aquatics,Swimming,"herschmann, otto",AUT,Men,100M Freestyle,Silver,Summer
1896,Athens,Aquatics,Swimming,"drivas, dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze,Summer
1896,Athens,Aquatics,Swimming,"malokinis, ioannis",GRE,Men,100M Freestyle For Sailors,Gold,Summer
1896,Athens,Aquatics,Swimming,"chasapis, spiridon",GRE,Men,100M Freestyle For Sailors,Silver,Summer
1896,Athens,Aquatics,Swimming,"chorophas, efstathios",GRE,Men,1200M Freestyle,Bronze,Summer
1896,Athens,Aquatics,Swimming,"hajos, alfred",HUN,Men,1200M Freestyle,Gold,Summer
1896,Athens,Aquatics,Swimming,"andreou, joannis",GRE,Men,1200M Freestyle,Silver,Summer
1896,Athens,Aquatics,Swimming,"chorophas, efstathios",GRE,Men,400M Freestyle,Bronze,Summer
1896,Athens,Aquatics,Swimming,"neumann, paul",AUT,Men,400M Freestyle,Gold,Summer
1896,Athens,Aquatics,Swimming,"pepanos, antonios",GRE,Men,400M Freestyle,Silver,Summer
1896,Athens,Athletics,Athletics,"lane, francis",USA,Men,100M,Bronze,Summer
1896,Athens,Athletics,Athletics,"szokolyi, alajos",HUN,Men,100M,Bronze,Summer
1896,Athens,Athletics,Athletics,"burke, thomas",USA,Men,100M,Gold,Summer
1896,Athens,Athletics,Athletics,"hofmann, fritz",GER,Men,100M,Silver,Summer
1896,Athens,Athletics,Athletics,"curtis, thomas",USA,Men,110M Hurdles,Gold,Summer
1896,Athens,Athletics,Athletics,"goulding, grantley",GBR,Men,110M Hurdles,Silver,Summer
1896,Athens,Athletics,Athletics,"lermusiaux, albin",FRA,Men,1500M,Bronze,Summer
1896,Athens,Athletics,Athletics,"flack, edwin",AUS,Men,1500M,Gold,Summer
1896,Athens,Athletics,Athletics,"blake, arthur",USA,Men,1500M,Silver,Summer
1896,Athens,Athletics,Athletics,"gmelin, charles",GBR,Men,400M,Bronze,Summer
1896,Athens,Athletics,Athletics,"burke, thomas",USA,Men,400M,Gold,Summer
1896,Athens,Athletics,Athletics,"jamison, herbert",USA,Men,400M,Silver,Summer
1896,Athens,Athletics,Athletics,"golemis, dimitrios",GRE,Men,800M,Bronze,Summer
1896,Athens,Athletics,Athletics,"flack, edwin",AUS,Men,800M,Gold,Summer
1896,Athens,Athletics,Athletics,"dani, nandor",HUN,Men,800M,Silver,Summer
1896,Athens,Athletics,Athletics,"versis, sotirios",GRE,Men,Discus Throw,Bronze,Summer
1896,Athens,Athletics,Athletics,"garrett, robert",USA,Men,Discus Throw,Gold,Summer
1896,Athens,Athletics,Athletics,"paraskevopoulos, panagiotis",GRE,Men,Discus Throw,Silver,Summer
1896,Athens,Athletics,Athletics,"clark, ellery",USA,Men,High Jump,Gold,Summer
1896,Athens,Athletics,Athletics,"connolly, james",USA,Men,High Jump,Silver,Summer
1896,Athens,Athletics,Athletics,"garrett, robert",USA,Men,High Jump,Silver,Summer
1896,Athens,Athletics,Athletics,"connolly, james",USA,Men,Long Jump,Bronze,Summer
1896,Athens,Athletics,Athletics,"clark, ellery",USA,Men,Long Jump,Gold,Summer
1896,Athens,Athletics,Athletics,"garrett, robert",USA,Men,Long Jump,Silver,Summer
1896,Athens,Athletics,Athletics,"kellner, gyula",HUN,Men,Marathon,Bronze,Summer
1896,Athens,Athletics,Athletics,"louis, spyridon",GRE,Men,Marathon,Gold,Summer
1896,Athens,Athletics,Athletics,"vasilakos, kharilaos",GRE,Men,Marathon,Silver,Summer
1896,Athens,Athletics,Athletics,"damaskos, evangelos",GRE,Men,Pole Vault,Bronze,Summer
1896,Athens,Athletics,Athletics,"theodoropoulos, ioannis",GRE,Men,Pole Vault,Bronze,Summer
1896,Athens,Athletics,Athletics,"hoyt, william welles",USA,Men,Pole Vault,Gold,Summer
1896,Athens,Athletics,Athletics,"tyler, albert",USA,Men,Pole Vault,Silver,Summer
1896,Athens,Athletics,Athletics,"papasideris, georgios",GRE,Men,Shot Put,Bronze,Summer
1896,Athens,Athletics,Athletics,"garrett, robert",USA,Men,Shot Put,Gold,Summer
1896,Athens,Athletics,Athletics,"gouskos, miltiadis",GRE,Men,Shot Put,Silver,Summer
1896,Athens,Athletics,Athletics,"persakis, ioannis",GRE,Men,Triple Jump,Bronze,Summer
1896,Athens,Athletics,Athletics,"connolly, james",USA,Men,Triple Jump,Gold,Summer
1896,Athens,Athletics,Athletics,"tufferi, alexandre",FRA,Men,Triple Jump,Silver,Summer
1896,Athens,Cycling,Cycling Road,"battel, edward",GBR,Men,Individual Road Race,Bronze,Summer
1896,Athens,Cycling,Cycling Road,"konstantinidis, aristidis",GRE,Men,Individual Road Race,Gold,Summer
1896,Athens,Cycling,Cycling Road,"goedrich, august",GER,Men,Individual Road Race,Silver,Summer
1896,Athens,Cycling,Cycling Track,"flameng, léon",FRA,Men,100KM,Gold,Summer
1896,Athens,Cycling,Cycling Track,"kolettis, georgios",GRE,Men,100KM,Silver,Summer
1896,Athens,Cycling,Cycling Track,"schmal, adolf",AUT,Men,10KM,Bronze,Summer
1896,Athens,Cycling,Cycling Track,"masson, paul",FRA,Men,10KM,Gold,Summer
1896,Athens,Cycling,Cycling Track,"flameng, léon",FRA,Men,10KM,Silver,Summer
1896,Athens,Cycling,Cycling Track,"schmal, adolf",AUT,Men,12-Hour Race,Gold,Summer
1896,Athens,Cycling,Cycling Track,"keeping, frank",GBR,Men,12-Hour Race,Silver,Summer
1896,Athens,Cycling,Cycling Track,"schmal, adolf",AUT,Men,1KM Time Trial,Bronze,Summer
1896,Athens,Cycling,Cycling Track,"masson, paul",FRA,Men,1KM Time Trial,Gold,Summer
1896,Athens,Cycling,Cycling Track,"nikolopoulos, stamatios",GRE,Men,1KM Time Trial,Silver,Summer
1896,Athens,Cycling,Cycling Track,"flameng, léon",FRA,Men,Sprint Indivual,Bronze,Summer
1896,Athens,Cycling,Cycling Track,"masson, paul",FRA,Men,Sprint Indivual,Gold,Summer
1896,Athens,Cycling,Cycling Track,"nikolopoulos, stamatios",GRE,Men,Sprint Indivual,Silver,Summer
1896,Athens,Fencing,Fencing,"pierrakos-mavromichalis, perikles",GRE,Men,Foil Individual,Bronze,Summer
1896,Athens,Fencing,Fencing,"gravelotte, eugène-henri",FRA,Men,Foil Individual,Gold,Summer
1896,Athens,Fencing,Fencing,"callot, henri",FRA,Men,Foil Individual,Silver,Summer
1896,Athens,Fencing,Fencing,"pyrgos, leonidas",GRE,Men,"Foil, Masters",Gold,Summer
1896,Athens,Fencing,Fencing,"perronnet, maurice",FRA,Men,"Foil, Masters",Silver,Summer
1896,Athens,Fencing,Fencing,"nielsen, holger",DEN,Men,Sabre Individual,Bronze,Summer
1896,Athens,Fencing,Fencing,"georgiadis, ioannis",GRE,Men,Sabre Individual,Gold,Summer
1896,Athens,Fencing,Fencing,"karakalos, telemachos",GRE,Men,Sabre Individual,Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"weingärtner, hermann",GER,Men,Horizontal Bar,Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"flatow, alfred",GER,Men,Horizontal Bar,Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"flatow, alfred",GER,Men,Parallel Bars,Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"zutter, louis",SUI,Men,Parallel Bars,Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"zutter, louis",SUI,Men,Pommel Horse,Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"weingärtner, hermann",GER,Men,Pommel Horse,Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"persakis, petros",GRE,Men,Rings,Bronze,Summer
1896,Athens,Gymnastics,Artistic G.,"mitropoulos, ioannis",GRE,Men,Rings,Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"weingärtner, hermann",GER,Men,Rings,Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"hofmann, fritz",GER,Men,Rope Climbing,Bronze,Summer
1896,Athens,Gymnastics,Artistic G.,"andriakopoulos, nicolaos",GRE,Men,Rope Climbing,Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"xenakis, thomasios",GRE,Men,Rope Climbing,Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"böcker, konrad",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"flatow, alfred",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"flatow, gustav felix",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"hilmar, georg",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"hofmann, fritz",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"manteuffel, fritz",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"neukirch, karl",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"röstel, richard",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"schuft, gustav",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"schumann, carl",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"weingärtner, hermann",GER,Men,"Team, Horizontal Bar",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"chrysaphis, ioannis",GRE,Men,"Team, Parallel Bars",Bronze,Summer
1896,Athens,Gymnastics,Artistic G.,"karvelas, phillippos",GRE,Men,"Team, Parallel Bars",Bronze,Summer
1896,Athens,Gymnastics,Artistic G.,"loundras, dimitrios",GRE,Men,"Team, Parallel Bars",Bronze,Summer
1896,Athens,Gymnastics,Artistic G.,"mitropoulos, ioannis",GRE,Men,"Team, Parallel Bars",Bronze,Summer
1896,Athens,Gymnastics,Artistic G.,"böcker, konrad",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"flatow, alfred",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"flatow, gustav felix",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"hilmar, georg",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"hofmann, fritz",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"manteuffel, fritz",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"neukirch, karl",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"röstel, richard",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"schuft, gustav",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"schumann, carl",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"weingärtner, hermann",GER,Men,"Team, Parallel Bars",Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"andriakopoulos, nicolaos",GRE,Men,"Team, Parallel Bars",Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"athanasopoulos, spyros",GRE,Men,"Team, Parallel Bars",Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"persakis, petros",GRE,Men,"Team, Parallel Bars",Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"xenakis, thomasios",GRE,Men,"Team, Parallel Bars",Silver,Summer
1896,Athens,Gymnastics,Artistic G.,"weingärtner, hermann",GER,Men,Vault,Bronze,Summer
1896,Athens,Gymnastics,Artistic G.,"schumann, carl",GER,Men,Vault,Gold,Summer
1896,Athens,Gymnastics,Artistic G.,"zutter, louis",SUI,Men,Vault,Silver,Summer
1896,Athens,Shooting,Shooting,"morakis, nikolaos",GRE,Men,25M Army Pistol,Bronze,Summer
1896,Athens,Shooting,Shooting,"paine, john",USA,Men,25M Army Pistol,Gold,Summer
1896,Athens,Shooting,Shooting,"paine, sumner",USA,Men,25M Army Pistol,Silver,Summer
1896,Athens,Shooting,Shooting,"nielsen, holger",DEN,Men,25M Rapid Fire Pistol (60 Shots),Bronze,Summer
1896,Athens,Shooting,Shooting,"phrangoudis, joannis",GRE,Men,25M Rapid Fire Pistol (60 Shots),Gold,Summer
1896,Athens,Shooting,Shooting,"orphanidis, georgios",GRE,Men,25M Rapid Fire Pistol (60 Shots),Silver,Summer
1896,Athens,Shooting,Shooting,"phrangoudis, joannis",GRE,Men,50M Pistol (60 Shots),Bronze,Summer
1896,Athens,Shooting,Shooting,"paine, sumner",USA,Men,50M Pistol (60 Shots),Gold,Summer
1896,Athens,Shooting,Shooting,"nielsen, holger",DEN,Men,50M Pistol (60 Shots),Silver,Summer
1896,Athens,Shooting,Shooting,"trikupis, nicolaos",GRE,Men,"Army Rifle, 200M",Bronze,Summer
1896,Athens,Shooting,Shooting,"karasevdas, pantelis",GRE,Men,"Army Rifle, 200M",Gold,Summer
1896,Athens,Shooting,Shooting,"pavlidis, pavlos",GRE,Men,"Army Rifle, 200M",Silver,Summer
1896,Athens,Shooting,Shooting,"jensen, viggo",DEN,Men,"Army Rifle, 300M",Bronze,Summer
1896,Athens,Shooting,Shooting,"orphanidis, georgios",GRE,Men,"Army Rifle, 300M",Gold,Summer
1896,Athens,Shooting,Shooting,"phrangoudis, joannis",GRE,Men,"Army Rifle, 300M",Silver,Summer
1896,Athens,Tennis,Tennis,"flack, edwin",ZZX,Men,Doubles,Bronze,Summer
1896,Athens,Tennis,Tennis,"robertson, george stuart",ZZX,Men,Doubles,Bronze,Summer
1896,Athens,Tennis,Tennis,"boland, john",ZZX,Men,Doubles,Gold,Summer
1896,Athens,Tennis,Tennis,"traun, friedrich",ZZX,Men,Doubles,Gold,Summer
1896,Athens,Tennis,Tennis,"kasdaglis, dionysios",ZZX,Men,Doubles,Silver,Summer
1896,Athens,Tennis,Tennis,"petrokokkinos, demetrios",ZZX,Men,Doubles,Silver,Summer
1896,Athens,Tennis,Tennis,"paspatis, konstantinos",GRE,Men,Singles,Bronze,Summer
1896,Athens,Tennis,Tennis,"tapavicza, momcsillo",HUN,Men,Singles,Bronze,Summer
1896,Athens,Tennis,Tennis,"boland, john",GBR,Men,Singles,Gold,Summer
1896,Athens,Tennis,Tennis,"kasdaglis, dionysios",GRE,Men,Singles,Silver,Summer
1896,Athens,Weightlifting,Weightlifting,"nikolopoulos, alexandros",GRE,Men,Heavyweight - One Hand Lift,Bronze,Summer
1896,Athens,Weightlifting,Weightlifting,"elliott, launceston",GBR,Men,Heavyweight - One Hand Lift,Gold,Summer
1896,Athens,Weightlifting,Weightlifting,"jensen, viggo",DEN,Men,Heavyweight - One Hand Lift,Silver,Summer
1896,Athens,Weightlifting,Weightlifting,"versis, sotirios",GRE,Men,Heavyweight - Two Hand Lift,Bronze,Summer
1896,Athens,Weightlifting,Weightlifting,"jensen, viggo",DEN,Men,Heavyweight - Two Hand Lift,Gold,Summer
1896,Athens,Weightlifting,Weightlifting,"elliott, launceston",GBR,Men,Heavyweight - Two Hand Lift,Silver,Summer
1896,Athens,Wrestling,Wrestling Gre-R,"christopoulos, stephanos",GRE,Men,Open Event,Bronze,Summer
1896,Athens,Wrestling,Wrestling Gre-R,"schumann, carl",GER,Men,Open Event,Gold,Summer
1896,Athens,Wrestling,Wrestling Gre-R,"tsitas, georgios",GRE,Men,Open Event,Silver,Summer
1900,Paris,Aquatics,Swimming,"halmay, zoltan",HUN,Men,1500M Freestyle,Bronze,Summer
1900,Paris,Aquatics,Swimming,"jarvis, john arthur",GBR,Men,1500M Freestyle,Gold,Summer
1900,Paris,Aquatics,Swimming,"wahle, otto",AUT,Men,1500M Freestyle,Silver,Summer
1900,Paris,Aquatics,Swimming,"drost, johannes",NED,Men,200M Backstroke,Bronze,Summer
1900,Paris,Aquatics,Swimming,"hoppenberg, ernst",GER,Men,200M Backstroke,Gold,Summer
1900,Paris,Aquatics,Swimming,"ruberl, karl",AUT,Men,200M Backstroke,Silver,Summer
1900,Paris,Aquatics,Swimming,"ruberl, karl",AUT,Men,200M Freestyle,Bronze,Summer
1900,Paris,Aquatics,Swimming,"lane, frederick c.v.",AUS,Men,200M Freestyle,Gold,Summer
1900,Paris,Aquatics,Swimming,"halmay, zoltan",HUN,Men,200M Freestyle,Silver,Summer
1900,Paris,Aquatics,Swimming,"kemp, peter",GBR,Men,200M Obstacle Event,Bronze,Summer
1900,Paris,Aquatics,Swimming,"lane, frederick c.v.",AUS,Men,200M Obstacle Event,Gold,Summer
1900,Paris,Aquatics,Swimming,"wahle, otto",AUT,Men,200M Obstacle Event,Silver,Summer
1900,Paris,Aquatics,Swimming,houben,FRA,Men,200M Team Swimming,Bronze,Summer
1900,Paris,Aquatics,Swimming,"leuillieux, jean",FRA,Men,200M Team Swimming,Bronze,Summer
1900,Paris,Aquatics,Swimming,"martin, louis",FRA,Men,200M Team Swimming,Bronze,Summer
1900,Paris,Aquatics,Swimming,"merchez, désiré",FRA,Men,200M Team Swimming,Bronze,Summer
1900,Paris,Aquatics,Swimming,tartara,FRA,Men,200M Team Swimming,Bronze,Summer
1900,Paris,Aquatics,Swimming,"frey, julius",GER,Men,200M Team Swimming,Gold,Summer
1900,Paris,Aquatics,Swimming,"hainle, max",GER,Men,200M Team Swimming,Gold,Summer
1900,Paris,Aquatics,Swimming,"hoppenberg, ernst",GER,Men,200M Team Swimming,Gold,Summer
1900,Paris,Aquatics,Swimming,"schöne, max",GER,Men,200M Team Swimming,Gold,Summer
1900,Paris,Aquatics,Swimming,"von petersdorff, herbert",GER,Men,200M Team Swimming,Gold,Summer
1900,Paris,Aquatics,Swimming,bertrand,FRA,Men,200M Team Swimming,Silver,Summer
1900,Paris,Aquatics,Swimming,cadet,FRA,Men,200M Team Swimming,Silver,Summer
1900,Paris,Aquatics,Swimming,"hochepied, maurice",FRA,Men,200M Team Swimming,Silver,Summer
1900,Paris,Aquatics,Swimming,"hochepied, victor",FRA,Men,200M Team Swimming,Silver,Summer
1900,Paris,Aquatics,Swimming,verbecke,FRA,Men,200M Team Swimming,Silver,Summer
1900,Paris,Aquatics,Swimming,"martin, louis",FRA,Men,4000M Freestyle,Bronze,Summer
1900,Paris,Aquatics,Swimming,"jarvis, john arthur",GBR,Men,4000M Freestyle,Gold,Summer
1900,Paris,Aquatics,Swimming,"halmay, zoltan",HUN,Men,4000M Freestyle,Silver,Summer
1900,Paris,Aquatics,Swimming,"lykkeberg, peder",DEN,Men,Underwater Swimming,Bronze,Summer
1900,Paris,Aquatics,Swimming,"de vendeville, charles",FRA,Men,Underwater Swimming,Gold,Summer
1900,Paris,Aquatics,Swimming,"six, andré",FRA,Men,Underwater Swimming,Silver,Summer
1900,Paris,Aquatics,Water polo,"burgess, thomas",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,coulon,FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"decuyper, alphonse",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,devenot,FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,fardelle,FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,favier,FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"laufray, louis",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,leriche,FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"martin, louis",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"merchez, désiré",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"peslier, henri",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,pesloy,FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"treffel, charles",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"vasseur, paul",FRA,Men,Water Polo,Bronze,Summer
1900,Paris,Aquatics,Water polo,"coe, thomas",GBR,Men,Water Polo,Gold,Summer
1900,Paris,Aquatics,Water polo,"derbyshire, john henry",GBR,Men,Water Polo,Gold,Summer
1900,Paris,Aquatics,Water polo,"kemp, peter",GBR,Men,Water Polo,Gold,Summer
1900,Paris,Aquatics,Water polo,"lister, william",GBR,Men,Water Polo,Gold,Summer
1900,Paris,Aquatics,Water polo,"robertson, arthur",GBR,Men,Water Polo,Gold,Summer
1900,Paris,Aquatics,Water polo,"robinson, eric",GBR,Men,Water Polo,Gold,Summer
1900,Paris,Aquatics,Water polo,"wilkinson, george",GBR,Men,Water Polo,Gold,Summer
1900,Paris,Aquatics,Water polo,"cohen, henri",BEL,Men,Water Polo,Silver,Summer
1900,Paris,Aquatics,Water polo,"de backer, jean",BEL,Men,Water Polo,Silver,Summer
1900,Paris,Aquatics,Water polo,"de behr, victor",BEL,Men,Water Polo,Silver,Summer
1900,Paris,Aquatics,Water polo,"feyaerts, fernand",BEL,Men,Water Polo,Silver,Summer
1900,Paris,Aquatics,Water polo,"gregoire, oscar",BEL,Men,Water Polo,Silver,Summer
1900,Paris,Aquatics,Water polo,"michant, albert",BEL,Men,Water Polo,Silver,Summer
1900,Paris,Aquatics,Water polo,"sonnemans, victor",BEL,Men,Water Polo,Silver,Summer
1900,Paris,Archery,Archery,"petit, charles frédéric",FRA,Men,"Au Chapelet, 33M",Bronze,Summer
1900,Paris,Archery,Archery,"van innis, hubert",BEL,Men,"Au Chapelet, 33M",Gold,Summer
1900,Paris,Archery,Archery,"thibaud, victor",FRA,Men,"Au Chapelet, 33M",Silver,Summer
1900,Paris,Archery,Archery,"mercier, emile",FRA,Men,"Au Chapelet, 50M",Bronze,Summer
1900,Paris,Archery,Archery,"mougin, eugène",FRA,Men,"Au Chapelet, 50M",Gold,Summer
1900,Paris,Archery,Archery,"helle, henri",FRA,Men,"Au Chapelet, 50M",Silver,Summer
1900,Paris,Archery,Archery,"petit, charles frédéric",FRA,Men,"Au Cordon Doré, 33M",Bronze,Summer
1900,Paris,Archery,Archery,"van innis, hubert",BEL,Men,"Au Cordon Doré, 33M",Gold,Summer
1900,Paris,Archery,Archery,"thibaud, victor",FRA,Men,"Au Cordon Doré, 33M",Silver,Summer
1900,Paris,Archery,Archery,"fisseux, emile",FRA,Men,"Au Cordon Doré, 50M",Bronze,Summer
1900,Paris,Archery,Archery,"herouin, henri",FRA,Men,"Au Cordon Doré, 50M",Gold,Summer
1900,Paris,Archery,Archery,"van innis, hubert",BEL,Men,"Au Cordon Doré, 50M",Silver,Summer
1900,Paris,Archery,Archery,"foulon, emmanuel",BEL,Men,Sur La Perche À La Herse,Gold,Summer
1900,Paris,Archery,Archery,"druart, jr.",BEL,Men,Sur La Perche À La Herse,Silver,Summer
1900,Paris,Archery,Archery,"serrurier, auguste",FRA,Men,Sur La Perche À La Herse,Silver,Summer
1900,Paris,Archery,Archery,"glineux, louis",BEL,Men,Sur La Perche À La Pyramide,Bronze,Summer
1900,Paris,Archery,Archery,"grumiaux, emile",FRA,Men,Sur La Perche À La Pyramide,Gold,Summer
1900,Paris,Archery,Archery,"serrurier, auguste",FRA,Men,Sur La Perche À La Pyramide,Silver,Summer
1900,Paris,Athletics,Athletics,"rowley, stanley",AUS,Men,100M,Bronze,Summer
1900,Paris,Athletics,Athletics,"jarvis, francis",USA,Men,100M,Gold,Summer
1900,Paris,Athletics,Athletics,"tewksbury, walter b. john",USA,Men,100M,Silver,Summer
1900,Paris,Athletics,Athletics,"moloney, frederick",USA,Men,110M Hurdles,Bronze,Summer
1900,Paris,Athletics,Athletics,"kraenzlein, alvin",USA,Men,110M Hurdles,Gold,Summer
1900,Paris,Athletics,Athletics,"mclean, john",USA,Men,110M Hurdles,Silver,Summer
1900,Paris,Athletics,Athletics,"bray, john",USA,Men,1500M,Bronze,Summer
1900,Paris,Athletics,Athletics,"bennett, charles",GBR,Men,1500M,Gold,Summer
1900,Paris,Athletics,Athletics,"deloge, henri",FRA,Men,1500M,Silver,Summer
1900,Paris,Athletics,Athletics,"rowley, stanley",AUS,Men,200M,Bronze,Summer
1900,Paris,Athletics,Athletics,"tewksbury, walter b. john",USA,Men,200M,Gold,Summer
1900,Paris,Athletics,Athletics,"pritchard, norman",IND,Men,200M,Silver,Summer
1900,Paris,Athletics,Athletics,"tewksbury, walter b. john",USA,Men,200M Hurdles,Bronze,Summer
1900,Paris,Athletics,Athletics,"kraenzlein, alvin",USA,Men,200M Hurdles,Gold,Summer
1900,Paris,Athletics,Athletics,"pritchard, norman",IND,Men,200M Hurdles,Silver,Summer
1900,Paris,Athletics,Athletics,"chastanie, jacques",FRA,Men,3000M Steeplechase,Bronze,Summer
1900,Paris,Athletics,Athletics,"orton, george",CAN,Men,3000M Steeplechase,Gold,Summer
1900,Paris,Athletics,Athletics,"robinson, sidney",GBR,Men,3000M Steeplechase,Silver,Summer
1900,Paris,Athletics,Athletics,"robinson, sidney",GBR,Men,4000M Steeplechase,Bronze,Summer
1900,Paris,Athletics,Athletics,"rimmer, john",GBR,Men,4000M Steeplechase,Gold,Summer
1900,Paris,Athletics,Athletics,"bennett, charles",GBR,Men,4000M Steeplechase,Silver,Summer
1900,Paris,Athletics,Athletics,"schultz, ernst",DEN,Men,400M,Bronze,Summer
1900,Paris,Athletics,Athletics,"long, maxwell w.maxey",USA,Men,400M,Gold,Summer
1900,Paris,Athletics,Athletics,"holland, william",USA,Men,400M,Silver,Summer
1900,Paris,Athletics,Athletics,"orton, george",CAN,Men,400M Hurdles,Bronze,Summer
1900,Paris,Athletics,Athletics,"tewksbury, walter b. john",USA,Men,400M Hurdles,Gold,Summer
1900,Paris,Athletics,Athletics,"tauzin, henri",FRA,Men,400M Hurdles,Silver,Summer
1900,Paris,Athletics,Athletics,"bennett, charles",ZZX,Men,5000M Team,Gold,Summer
1900,Paris,Athletics,Athletics,"rimmer, john",ZZX,Men,5000M Team,Gold,Summer
1900,Paris,Athletics,Athletics,"robinson, sidney",ZZX,Men,5000M Team,Gold,Summer
1900,Paris,Athletics,Athletics,"rowley, stanley",ZZX,Men,5000M Team,Gold,Summer
1900,Paris,Athletics,Athletics,"tysoe, alfred",ZZX,Men,5000M Team,Gold,Summer
1900,Paris,Athletics,Athletics,"castanet, andré",FRA,Men,5000M Team,Silver,Summer
1900,Paris,Athletics,Athletics,"champoudry, michel",FRA,Men,5000M Team,Silver,Summer
1900,Paris,Athletics,Athletics,"chastanie, jacques",FRA,Men,5000M Team,Silver,Summer
1900,Paris,Athletics,Athletics,"deloge, henri",FRA,Men,5000M Team,Silver,Summer
1900,Paris,Athletics,Athletics,"ragueneau, gaston",FRA,Men,5000M Team,Silver,Summer
1900,Paris,Athletics,Athletics,"rowley, stanley",AUS,Men,60M,Bronze,Summer
1900,Paris,Athletics,Athletics,"kraenzlein, alvin",USA,Men,60M,Gold,Summer
1900,Paris,Athletics,Athletics,"tewksbury, walter b. john",USA,Men,60M,Silver,Summer
1900,Paris,Athletics,Athletics,"hall, david",USA,Men,800M,Bronze,Summer
1900,Paris,Athletics,Athletics,"tysoe, alfred",GBR,Men,800M,Gold,Summer
1900,Paris,Athletics,Athletics,"cregan, john",USA,Men,800M,Silver,Summer
1900,Paris,Athletics,Athletics,"sheldon, richard",USA,Men,Discus Throw,Bronze,Summer
1900,Paris,Athletics,Athletics,"bauer, rudolf",HUN,Men,Discus Throw,Gold,Summer
