country_name,country_code,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.9614017269999997,7.962872496,5.882352941000001,7.307692307999999,8.203902828,2.547143909,1.185788172,7.046873978,1.9919858519999998,1.238042106,7.616588194,-2.971256724,-3.273646411,1.9755472619999999,7.9115634660000005,1.2143493490000001,1.050607528,1.800225971,-0.090708046,-10.51974854,-3.6850293869999997,3.44605475,-1.369863014,4.198232323,0.3,5.700000876,2.099999586,1.999999104,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277804,1.41411798,11.22971484,5.357403248,13.82631954,3.9249838230000003,21.39052841,14.36244146,0.42635479299999995,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.647003202,1.189228129,3.911603419
Angola,AGO,,,,,,,,,,,,,,,,,,,,,-4.400001219,0.0,4.200001428,6.000002164,3.49999949,2.9000017430000002,4.082748636,6.1288904760000005,0.041621462000000005,-3.450098684,0.9913593009999999,-5.8382807329999995,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.403932543,3.471976345,8.542187643,4.954544646,4.822627568,0.943571561,-2.5800496440000003,-0.14721294099999999,-2.003629727,-0.624644318
Albania,ALB,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596802,1.1049382620000001,-1.251596645,1.78064396,5.637243177999999,-0.787842655,-1.420039655,9.83654897,-9.575640169,-28.00214166,-7.187110916,9.559411694,8.302866591,13.32233332,9.099999444,-10.91998409,8.830087708999999,12.88989673,6.950036133999999,8.290070027,4.53996064,5.530050778,5.509998692999999,5.529914809,5.9000839570000005,5.979982036,7.49996956,3.350066528,3.7068923010000003,2.545321845,1.4175259919999998,1.00198715,1.774486785,2.218752232,3.314804753,3.802197488,4.071301295,2.240070268
Andorra,AND,,,,,,,,,,,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.8385755660000003,1.463000179,0.041557195,2.2087276069999997,-0.132474511,1.246461113,1.7701183169999999,1.7846866940000001,2.321433032,3.253321778,5.547122171,5.0943262030000005,4.827034244,3.78138759,2.546002872,0.929211956,-1.0314840109999999,2.383187691,2.757499187,4.649740148999999,9.067672199,3.1947902960000003,4.099080837,3.528361297,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.9749580000000002,-0.008069753,-4.974443719,-3.547596515,2.5044655209999998,1.434140395,3.70967807,0.34607189,1.58876549,1.8492382569999999
Arab World,ARB,,,,,,,,,,,,,,,,15.74032624,8.243803122000001,-0.681772822,11.68988215,9.082873085,3.0386014789999996,-9.07866029,-6.89608087,1.3260493290000002,-2.366242261,4.68468608,-0.5397674170000001,5.671389222999999,2.377150213,13.12682804,1.50306804,4.938746253,3.26751375,3.203914273,2.7489550960000004,4.592263662,4.224987961,5.265798664,1.800873509,5.496228172,1.56374005,0.569966523,5.318672594,9.373925149,5.747402351,6.501690735,4.523805903,5.811198823,0.419973251,4.668193858,3.7489005360000003,6.662222452999999,3.287271169,2.505076477,3.24331211,3.5071276680000003,0.820846517,2.079469006,1.4876330169999998
United Arab Emirates,ARE,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176673999999,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.3819817089999997,-2.618907704,12.33789128,18.32798553,0.860081946,3.3449448619999997,1.261190951,6.8961485510000005,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319772999999,3.184390174,3.191836276,-5.2429219069999995,1.602809961,6.930271629,4.484626085,5.053345825,4.284303686,5.1059369839999995,3.060964308,2.373536708,1.189855642,1.677720371
Argentina,ARG,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.8117540410000004,5.533804395,-0.028412102999999998,-2.018251517,6.934147755,-4.5061248019999995,10.22276346,1.5187839490000001,-5.18978914,-0.735659162,4.34909328,1.5707387019999999,-5.189024352,6.153377063,2.7048688260000002,-1.0899333420000001,-7.156949656,-2.467213776,9.133110566000001,7.937291556,8.206979072000001,5.8362007039999995,-2.845209611,5.526689827,8.111046771,3.850178852,-3.3854570410000004,-0.7889989390000001,-4.408839683,-10.89448483,8.837040796,9.029573301000001,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951692999999,-1.0264204540000001,2.405323781,-2.5126153209999997,2.731159828,-2.080327844,2.8185029719999997,-2.565351876,-2.0880148640000002
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998793,5.400002778999999,6.89999842,5.865400749,3.3210797,7.299999988,3.3000000010000003,5.900000003,9.599999999,13.2,14.0,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.1999999989999997,0.2,7.500000002,5.2,7.599999999
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8141112620000001,0.538358008,-0.401606426,-4.166666667,1.9635343619999999,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.4040561619999998,-2.769230769,-5.85443038,2.18487395,
